category_id,listing_type_id,listing_type_fee
MLM5072,gold_pro,0.145
MLM5072,gold_special,0.1
MLM7533,gold_pro,0.145
MLM7533,gold_special,0.1
MLM420127,gold_pro,0.145
MLM420127,gold_special,0.1
MLM69627,gold_pro,0.195
MLM69627,gold_special,0.15
MLM3577,gold_pro,0.195
MLM3577,gold_special,0.15
MLM190912,gold_pro,0.165
MLM190912,gold_special,0.12
MLM431275,gold_pro,0.195
MLM431275,gold_special,0.15
MLM1438,gold_pro,0.195
MLM1438,gold_special,0.15
MLM194003,gold_pro,0.165
MLM194003,gold_special,0.12
MLM26287,gold_pro,0.195
MLM26287,gold_special,0.15
MLM429747,gold_pro,0.195
MLM429747,gold_special,0.15
MLM120037,gold_pro,0.195
MLM120037,gold_special,0.15
MLM1161,gold_pro,0.195
MLM1161,gold_special,0.15
MLM399139,gold_pro,0.195
MLM399139,gold_special,0.15
MLM145912,gold_pro,0.145
MLM145912,gold_special,0.1
MLM190841,gold_pro,0.175
MLM190841,gold_special,0.13
MLM6263,gold_pro,0.195
MLM6263,gold_special,0.15
MLM2097,gold_pro,0.195
MLM2097,gold_special,0.15
MLM417835,gold_pro,0.145
MLM417835,gold_special,0.1
MLM74386,gold_pro,0.195
MLM74386,gold_special,0.15
MLM5537,gold_pro,0.195
MLM5537,gold_special,0.15
MLM168249,gold_pro,0.195
MLM168249,gold_special,0.15
MLM191172,gold_pro,0.195
MLM191172,gold_special,0.15
MLM432233,gold_pro,0.195
MLM432233,gold_special,0.15
MLM7561,gold_pro,0.195
MLM7561,gold_special,0.15
MLM179500,gold_pro,0.195
MLM179500,gold_special,0.15
MLM191893,gold_pro,0.195
MLM191893,gold_special,0.15
MLM189402,gold_pro,0.195
MLM189402,gold_special,0.15
MLM48177,gold_pro,0.195
MLM48177,gold_special,0.15
MLM49300,gold_pro,0.145
MLM49300,gold_special,0.1
MLM433525,gold_pro,0.195
MLM433525,gold_special,0.15
MLM191712,gold_pro,0.195
MLM191712,gold_special,0.15
MLM1432,gold_pro,0.195
MLM1432,gold_special,0.15
MLM126282,gold_pro,0.195
MLM126282,gold_special,0.15
MLM1714,gold_pro,0.195
MLM1714,gold_special,0.15
MLM437575,gold_pro,0.145
MLM437575,gold_special,0.1
MLM167860,gold_pro,0.125
MLM167860,gold_special,0.08
MLM187752,gold_pro,0.145
MLM187752,gold_special,0.1
MLM82070,gold_pro,0.145
MLM82070,gold_special,0.1
MLM5015,gold_pro,0.145
MLM5015,gold_special,0.1
MLM7734,gold_pro,0.145
MLM7734,gold_special,0.1
MLM59800,gold_pro,0.145
MLM59800,gold_special,0.1
MLM3559,gold_pro,0.195
MLM3559,gold_special,0.15
MLM437330,gold_pro,0.195
MLM437330,gold_special,0.15
MLM37525,gold_pro,0.195
MLM37525,gold_special,0.15
MLM6777,gold_pro,0.145
MLM6777,gold_special,0.1
MLM31572,gold_pro,0.195
MLM31572,gold_special,0.15
MLM1040,gold_pro,0.145
MLM1040,gold_special,0.1
MLM1672,gold_pro,0.145
MLM1672,gold_special,0.1
MLM1719,gold_pro,0.195
MLM1719,gold_special,0.15
MLM4597,gold_pro,0.195
MLM4597,gold_special,0.15
MLM167530,gold_pro,0.195
MLM167530,gold_special,0.15
MLM167532,gold_pro,0.195
MLM167532,gold_special,0.15
MLM1002,gold_pro,0.145
MLM1002,gold_special,0.1
MLM191062,gold_pro,0.145
MLM191062,gold_special,0.1
MLM126793,gold_pro,0.145
MLM126793,gold_special,0.1
MLM118803,gold_pro,0.195
MLM118803,gold_special,0.15
MLM171885,gold_pro,0.195
MLM171885,gold_special,0.15
MLM1652,gold_pro,0.145
MLM1652,gold_special,0.1
MLM418451,gold_pro,0.195
MLM418451,gold_special,0.15
MLM455738,gold_pro,0.195
MLM455738,gold_special,0.15
MLM455248,gold_pro,0.195
MLM455248,gold_special,0.15
MLM9726,gold_pro,0.145
MLM9726,gold_special,0.1
MLM2968,gold_pro,0.195
MLM2968,gold_special,0.15
MLM439401,gold_pro,0.195
MLM439401,gold_special,0.15
MLM168077,gold_pro,0.165
MLM168077,gold_special,0.12
MLM157913,gold_pro,0.195
MLM157913,gold_special,0.15
MLM113782,gold_pro,0.195
MLM113782,gold_special,0.15
MLM190973,gold_pro,0.195
MLM190973,gold_special,0.15
MLM455430,gold_pro,0.195
MLM455430,gold_special,0.15
MLM187710,gold_pro,0.195
MLM187710,gold_special,0.15
MLM432881,gold_pro,0.195
MLM432881,gold_special,0.15
MLM1885,gold_pro,0.195
MLM1885,gold_special,0.15
MLM437329,gold_pro,0.195
MLM437329,gold_special,0.15
MLM149385,gold_pro,0.145
MLM149385,gold_special,0.1
MLM168470,gold_pro,0.145
MLM168470,gold_special,0.1
MLM191609,gold_pro,0.155
MLM191609,gold_special,0.11
MLM10743,gold_pro,0.145
MLM10743,gold_special,0.1
MLM2868,gold_pro,0.145
MLM2868,gold_special,0.1
MLM5845,gold_pro,0.145
MLM5845,gold_special,0.1
MLM194335,gold_pro,0.155
MLM194335,gold_special,0.11
MLM194336,gold_pro,0.155
MLM194336,gold_special,0.11
MLM31552,gold_pro,0.195
MLM31552,gold_special,0.15
MLM185699,gold_pro,0.155
MLM185699,gold_special,0.11
MLM3948,gold_pro,0.195
MLM3948,gold_special,0.15
MLM439187,gold_pro,0.195
MLM439187,gold_special,0.15
MLM158540,gold_pro,0.195
MLM158540,gold_special,0.15
MLM91864,gold_pro,0.145
MLM91864,gold_special,0.1
MLM194746,gold_pro,0.145
MLM194746,gold_special,0.1
MLM1858,gold_pro,0.195
MLM1858,gold_special,0.15
MLM438279,gold_pro,0.195
MLM438279,gold_special,0.15
MLM4915,gold_pro,0.145
MLM4915,gold_special,0.1
MLM168467,gold_pro,0.145
MLM168467,gold_special,0.1
MLM433229,gold_pro,0.145
MLM433229,gold_special,0.1
MLM167974,gold_pro,0.145
MLM167974,gold_special,0.1
MLM189346,gold_pro,0.145
MLM189346,gold_special,0.1
MLM1060,gold_pro,0.145
MLM1060,gold_special,0.1
MLM167976,gold_pro,0.145
MLM167976,gold_special,0.1
MLM1271,gold_pro,0.175
MLM1271,gold_special,0.13
MLM167977,gold_pro,0.145
MLM167977,gold_special,0.1
MLM7667,gold_pro,0.145
MLM7667,gold_special,0.1
MLM189338,gold_pro,0.145
MLM189338,gold_special,0.1
MLM191061,gold_pro,0.145
MLM191061,gold_special,0.1
MLM167979,gold_pro,0.145
MLM167979,gold_special,0.1
MLM191785,gold_pro,0.145
MLM191785,gold_special,0.1
MLM412825,gold_pro,0.165
MLM412825,gold_special,0.12
MLM168064,gold_pro,0.145
MLM168064,gold_special,0.1
MLM168003,gold_pro,0.145
MLM168003,gold_special,0.1
MLM416632,gold_pro,0.145
MLM416632,gold_special,0.1
MLM1196,gold_pro,0.195
MLM1196,gold_special,0.15
MLM178389,gold_pro,0.165
MLM178389,gold_special,0.12
MLM167982,gold_pro,0.145
MLM167982,gold_special,0.1
MLM189369,gold_pro,0.145
MLM189369,gold_special,0.1
MLM191254,gold_pro,0.195
MLM191254,gold_special,0.15
MLM454836,gold_pro,0.185
MLM454836,gold_special,0.14
MLM420038,gold_pro,0.145
MLM420038,gold_special,0.1
MLM1667,gold_pro,0.195
MLM1667,gold_special,0.15
MLM167978,gold_pro,0.165
MLM167978,gold_special,0.12
MLM167970,gold_pro,0.195
MLM167970,gold_special,0.15
MLM191671,gold_pro,0.195
MLM191671,gold_special,0.15
MLM191711,gold_pro,0.145
MLM191711,gold_special,0.1
MLM168001,gold_pro,0.145
MLM168001,gold_special,0.1
MLM190830,gold_pro,0.165
MLM190830,gold_special,0.12
MLM168005,gold_pro,0.145
MLM168005,gold_special,0.1
MLM438878,gold_pro,0.195
MLM438878,gold_special,0.15
MLM191044,gold_pro,0.145
MLM191044,gold_special,0.1
MLM431307,gold_pro,0.145
MLM431307,gold_special,0.1
MLM189738,gold_pro,0.145
MLM189738,gold_special,0.1
MLM6431,gold_pro,0.195
MLM6431,gold_special,0.15
MLM16543,gold_pro,0.195
MLM16543,gold_special,0.15
MLM185698,gold_pro,0.155
MLM185698,gold_special,0.11
MLM189578,gold_pro,0.145
MLM189578,gold_special,0.1
MLM190051,gold_pro,0.145
MLM190051,gold_special,0.1
MLM454114,gold_pro,0.145
MLM454114,gold_special,0.1
MLM179715,gold_pro,0.195
MLM179715,gold_special,0.15
MLM167986,gold_pro,0.145
MLM167986,gold_special,0.1
MLM3378,gold_pro,0.145
MLM3378,gold_special,0.1
MLM412348,gold_pro,0.195
MLM412348,gold_special,0.15
MLM412740,gold_pro,0.145
MLM412740,gold_special,0.1
MLM190899,gold_pro,0.145
MLM190899,gold_special,0.1
MLM191910,gold_pro,0.145
MLM191910,gold_special,0.1
MLM191709,gold_pro,0.175
MLM191709,gold_special,0.13
MLM416558,gold_pro,0.165
MLM416558,gold_special,0.12
MLM3560,gold_pro,0.195
MLM3560,gold_special,0.15
MLM7415,gold_pro,0.195
MLM7415,gold_special,0.15
MLM9725,gold_pro,0.165
MLM9725,gold_special,0.12
MLM10871,gold_pro,0.195
MLM10871,gold_special,0.15
MLM126130,gold_pro,0.195
MLM126130,gold_special,0.15
MLM30766,gold_pro,0.145
MLM30766,gold_special,0.1
MLM193777,gold_pro,0.195
MLM193777,gold_special,0.15
MLM1371,gold_pro,0.145
MLM1371,gold_special,0.1
MLM432183,gold_pro,0.145
MLM432183,gold_special,0.1
MLM189102,gold_pro,0.175
MLM189102,gold_special,0.13
MLM167987,gold_pro,0.145
MLM167987,gold_special,0.1
MLM178498,gold_pro,0.195
MLM178498,gold_special,0.15
MLM127876,gold_pro,0.145
MLM127876,gold_special,0.1
MLM168333,gold_pro,0.195
MLM168333,gold_special,0.15
MLM430336,gold_pro,0.195
MLM430336,gold_special,0.15
MLM182461,gold_pro,0.165
MLM182461,gold_special,0.12
MLM194658,gold_pro,0.145
MLM194658,gold_special,0.1
MLM168682,gold_pro,0.195
MLM168682,gold_special,0.15
MLM455774,gold_pro,0.195
MLM455774,gold_special,0.15
MLM17957,gold_pro,0.195
MLM17957,gold_special,0.15
MLM189488,gold_pro,0.195
MLM189488,gold_special,0.15
MLM194126,gold_pro,0.195
MLM194126,gold_special,0.15
MLM180913,gold_pro,0.195
MLM180913,gold_special,0.15
MLM189994,gold_pro,0.195
MLM189994,gold_special,0.15
MLM1684,gold_pro,0.145
MLM1684,gold_special,0.1
MLM179246,gold_pro,0.195
MLM179246,gold_special,0.15
MLM439374,gold_pro,0.145
MLM439374,gold_special,0.1
MLM429698,gold_pro,0.145
MLM429698,gold_special,0.1
MLM167973,gold_pro,0.145
MLM167973,gold_special,0.1
MLM85840,gold_pro,0.145
MLM85840,gold_special,0.1
MLM194323,gold_pro,0.165
MLM194323,gold_special,0.12
MLM10089,gold_pro,0.195
MLM10089,gold_special,0.15
MLM189507,gold_pro,0.195
MLM189507,gold_special,0.15
MLM418419,gold_pro,0.145
MLM418419,gold_special,0.1
MLM191069,gold_pro,0.145
MLM191069,gold_special,0.1
MLM8227,gold_pro,0.195
MLM8227,gold_special,0.15
MLM431356,gold_pro,0.195
MLM431356,gold_special,0.15
MLM4789,gold_pro,0.145
MLM4789,gold_special,0.1
MLM439378,gold_pro,0.145
MLM439378,gold_special,0.1
MLM1893,gold_pro,0.165
MLM1893,gold_special,0.12
MLM189951,gold_pro,0.145
MLM189951,gold_special,0.1
MLM193952,gold_pro,0.175
MLM193952,gold_special,0.13
MLM5041,gold_pro,0.165
MLM5041,gold_special,0.12
MLM3530,gold_pro,0.195
MLM3530,gold_special,0.15
MLM58500,gold_pro,0.165
MLM58500,gold_special,0.12
MLM194137,gold_pro,0.165
MLM194137,gold_special,0.12
MLM157927,gold_pro,0.195
MLM157927,gold_special,0.15
MLM193819,gold_pro,0.195
MLM193819,gold_special,0.15
MLM187612,gold_pro,0.195
MLM187612,gold_special,0.15
MLM81144,gold_pro,0.195
MLM81144,gold_special,0.15
MLM10085,gold_pro,0.195
MLM10085,gold_special,0.15
MLM189643,gold_pro,0.195
MLM189643,gold_special,0.15
MLM184768,gold_pro,0.195
MLM184768,gold_special,0.15
MLM50655,gold_pro,0.195
MLM50655,gold_special,0.15
MLM189363,gold_pro,0.185
MLM189363,gold_special,0.14
MLM180940,gold_pro,0.195
MLM180940,gold_special,0.15
MLM3095,gold_pro,0.195
MLM3095,gold_special,0.15
MLM189529,gold_pro,0.195
MLM189529,gold_special,0.15
MLM179778,gold_pro,0.195
MLM179778,gold_special,0.15
MLM189648,gold_pro,0.185
MLM189648,gold_special,0.14
MLM431787,gold_pro,0.195
MLM431787,gold_special,0.15
MLM178398,gold_pro,0.165
MLM178398,gold_special,0.12
MLM107712,gold_pro,0.195
MLM107712,gold_special,0.15
MLM69650,gold_pro,0.195
MLM69650,gold_special,0.15
MLM53801,gold_pro,0.195
MLM53801,gold_special,0.15
MLM184767,gold_pro,0.195
MLM184767,gold_special,0.15
MLM189305,gold_pro,0.195
MLM189305,gold_special,0.15
MLM31515,gold_pro,0.195
MLM31515,gold_special,0.15
MLM417357,gold_pro,0.165
MLM417357,gold_special,0.12
MLM372071,gold_pro,0.195
MLM372071,gold_special,0.15
MLM188521,gold_pro,0.165
MLM188521,gold_special,0.12
MLM81145,gold_pro,0.195
MLM81145,gold_special,0.15
MLM193939,gold_pro,0.165
MLM193939,gold_special,0.12
MLM180261,gold_pro,0.145
MLM180261,gold_special,0.1
MLM184769,gold_pro,0.195
MLM184769,gold_special,0.15
MLM180929,gold_pro,0.175
MLM180929,gold_special,0.13
MLM432930,gold_pro,0.175
MLM432930,gold_special,0.13
MLM167573,gold_pro,0.195
MLM167573,gold_special,0.15
MLM5107,gold_pro,0.195
MLM5107,gold_special,0.15
MLM189028,gold_pro,0.195
MLM189028,gold_special,0.15
MLM128037,gold_pro,0.145
MLM128037,gold_special,0.1
MLM194132,gold_pro,0.195
MLM194132,gold_special,0.15
MLM168332,gold_pro,0.185
MLM168332,gold_special,0.14
MLM437447,gold_pro,0.195
MLM437447,gold_special,0.15
MLM188288,gold_pro,0.195
MLM188288,gold_special,0.15
MLM416585,gold_pro,0.195
MLM416585,gold_special,0.15
MLM167566,gold_pro,0.195
MLM167566,gold_special,0.15
MLM4598,gold_pro,0.195
MLM4598,gold_special,0.15
MLM47781,gold_pro,0.195
MLM47781,gold_special,0.15
MLM191128,gold_pro,0.185
MLM191128,gold_special,0.14
MLM126132,gold_pro,0.195
MLM126132,gold_special,0.15
MLM145934,gold_pro,0.195
MLM145934,gold_special,0.15
MLM189026,gold_pro,0.195
MLM189026,gold_special,0.15
MLM116384,gold_pro,0.195
MLM116384,gold_special,0.15
MLM43686,gold_pro,0.185
MLM43686,gold_special,0.14
MLM31573,gold_pro,0.195
MLM31573,gold_special,0.15
MLM4605,gold_pro,0.195
MLM4605,gold_special,0.15
MLM432650,gold_pro,0.185
MLM432650,gold_special,0.14
MLM7836,gold_pro,0.195
MLM7836,gold_special,0.15
MLM189027,gold_pro,0.195
MLM189027,gold_special,0.15
MLM194645,gold_pro,0.195
MLM194645,gold_special,0.15
MLM116381,gold_pro,0.195
MLM116381,gold_special,0.15
MLM419980,gold_pro,0.195
MLM419980,gold_special,0.15
MLM1584,gold_pro,0.195
MLM1584,gold_special,0.15
MLM437522,gold_pro,0.195
MLM437522,gold_special,0.15
MLM45897,gold_pro,0.175
MLM45897,gold_special,0.13
MLM433718,gold_pro,0.185
MLM433718,gold_special,0.14
MLM8040,gold_pro,0.195
MLM8040,gold_special,0.15
MLM190010,gold_pro,0.175
MLM190010,gold_special,0.13
MLM178755,gold_pro,0.185
MLM178755,gold_special,0.14
MLM120038,gold_pro,0.195
MLM120038,gold_special,0.15
MLM4293,gold_pro,0.145
MLM4293,gold_special,0.1
MLM7567,gold_pro,0.145
MLM7567,gold_special,0.1
MLM430535,gold_pro,0.175
MLM430535,gold_special,0.13
MLM438480,gold_pro,0.145
MLM438480,gold_special,0.1
MLM417715,gold_pro,0.195
MLM417715,gold_special,0.15
MLM1588,gold_pro,0.195
MLM1588,gold_special,0.15
MLM194128,gold_pro,0.145
MLM194128,gold_special,0.1
MLM171817,gold_pro,0.195
MLM171817,gold_special,0.15
MLM189629,gold_pro,0.165
MLM189629,gold_special,0.12
MLM189432,gold_pro,0.145
